ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0x171d,CUS_0x5b48,August,,32,706-95-0150,Lawyer,12600445,782.0370833333334,5,5,10,3,"Not Specified, Student Loan, and Student Loan",25,19,15.79,11.0,Standard,569.8,31.978873515820702,12 Years and 10 Months,Yes,26.060347529205966,66.37358000122424,Low_spent_Small_value_payments,275.76978080290314,Poor
0x1729,CUS_0xa5f9,August,Rickt,34,#F%$D@*&8,Mechanic,57983.12,4720.926666666667,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",48,24,7.27,,_,3532.83,24.726351303352534,12 Years and 9 Months,Yes,200.43261339470683,159.13672195005464,High_spent_Medium_value_payments,362.5233313219053,Poor
0x1735,CUS_0x4d43,August,Reijik,48,#F%$D@*&8,Entrepreneur,20787.69,1999.3075,8,1381,14,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",22,14,8.129999999999999,3.0,_,614.6,35.344187616472155,18 Years and 5 Months,No,42.22199265643221,21.745531229318935,High_spent_Large_value_payments,375.96322611424887,Standard
0x1741,CUS_0xb95f,August,Ashleyk,30,467-13-1148,Writer,34290.12,,9,898,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,9,13.96,13.0,_,2686.81,36.82064895309465,14 Years and 3 Months,Yes,185.1119825795006,94.91721648288956,High_spent_Small_value_payments,249.72180093760986,Poor
0x174d,CUS_0x3edc,August,Williamso,32,663-16-3845,Accountant,43070.24,,3,3,18,-100,Debt Consolidation Loan,11,8,8.97,8.0,Standard,1233.1,26.365699545206407,19 Years and 9 Months,Yes,30.57608482316153,403.5168088509092,!@9#%8,218.125772992596,Standard
0x1759,CUS_0xbffe,August,Dhanya Skariachano,40,311-13-7309,Architect,6515990.0_,2210.0325,6,3,15,3,"Payday Loan, Not Specified, and Auto Loan",25,12,4.89,2.0,Standard,400.07,23.177617480044173,30 Years and 10 Months,Yes,69.60292048199007,51.83085897154975,High_spent_Large_value_payments,339.5694705464602,Standard
0x1765,CUS_0xb681,August,Sarahb,38,904-88-7361,Manager,39641.54,3007.461666666666,10,8,25,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,13,-2.46,8.0,Bad,2258.73,34.84904970443735,9 Years and 3 Months,Yes,172.38252735862687,149.26780615872963,Low_spent_Large_value_payments,249.09583314931018,Poor
0x1771,CUS_0x9a71,August,Mukhopadhyayc,55,889-07-2357,Scientist,20186.02,1684.168333333333,1,5,1,2,"Auto Loan, and Home Equity Loan",5,6,6.83,4.0,Good,413.32,33.75820397193409,NA,No,29.534583720496048,153.53879644098146,Low_spent_Medium_value_payments,265.3434531718558,Standard
0x177d,CUS_0x6048,August,Ayeshaz,44,425-47-6723,Musician,18627.64,1387.303333333333,7,7,19,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",31,18,5.07,7.0,Bad,1793.54,38.78895428776155,19 Years and 4 Months,Yes,65.13948777561222,98.80418973887456,Low_spent_Small_value_payments,264.78665581884655,Poor
0x1789,CUS_0x95b5,August,Lisa Baertleinu,22,602-55-1355,Engineer,12986745,959.22875,4,3,10,2,"Mortgage Loan, and Payday Loan",28,17,11.8,7.0,Standard,1489.49,32.25544266260322,9 Years and 3 Months,Yes,16.719300227776053,91.82948180540613,Low_spent_Small_value_payments,277.37409296681784,Standard
0x1795,CUS_0x4004,August,Carlosj,44,679-26-6464,Writer,58317.0,4664.75,8,5,9,6,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan",22,,16.58,10.0,Standard,98.97,36.76366452604633,13 Years and 8 Months,Yes,149.89719942100822,59.955987495996,High_spent_Medium_value_payments,506.62181308299586,Standard
0x17a1,CUS_0xb101,August,Andreas Cremerf,37,253-91-2822,Scientist,42171.98,,2,7,10,3,"Auto Loan, Auto Loan, and Not Specified",4,10,2.58,4.0,Good,556.91,35.96285294028673,22 Years and 0 Months,No,102.76291311709039,145.39924253815036,High_spent_Medium_value_payments,378.27101101142586,Standard
0x17ad,CUS_0x9b94,August,,36,734-54-7098,Manager,71681.4,5799.45,3,6,15,1,Not Specified,8,8,10.44,0.0,Standard,1293.02,38.23451377496931,26 Years and 2 Months,NM,53.92351397165268,295.81189599421316,Low_spent_Medium_value_payments,510.20959003413424,Good
0x17b9,CUS_0x4080,August,ra Alperx,16,995-37-8920,Mechanic,29469.98,2227.8316666666665,7,7,24,5,"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",53,21,26.94,11.0,Bad,3421.66,32.96295024281038,13 Years and 9 Months,Yes,69.68545857227979,24.066131449353737,High_spent_Medium_value_payments,379.0315766450331,Poor
0x17c5,CUS_0x706a,August,Matt Falloonz,20,431-58-4893,_______,72559.36,6284.613333333334,4,5,17,4,"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan",15,19,-1.2599999999999998,5.0,Standard,1173.7,38.17098242520041,28 Years and 6 Months,No,215.83917063897172,105.71787307774441,High_spent_Medium_value_payments,556.9042896166172,Standard
0x17d1,CUS_0x42ac,August,Lawrencea,37_,700-60-3660,Musician,15566.02,1423.168333333333,8,5,32,4,"Home Equity Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan",17,23,9.24,9.0,Standard,1693.95,36.572989910187616,8 Years and 5 Months,Yes,43.07051960231588,,Low_spent_Medium_value_payments,333.9677311876703,Standard
0x17dd,CUS_0x571f,August,Emily Flitterl,19,397-28-9675,Developer,66567.32,5800.276666666668,5,7,5,2,"Mortgage Loan, and Not Specified",7,14,-1.33,2.0,Standard,233.79,28.453785791216827,NA,NM,100.18936089086122,82.84422854536191,High_spent_Large_value_payments,636.9940772304436,Standard
0x17e9,CUS_0xb5ff,August,Nateg,33,060-81-1328,Media_Manager,12909895,853.8245833333333,5,5,13,-100,,22,15,7.58,3.0,Standard,602.5,23.57985071791125,17 Years and 8 Months,No,0.0,60.052634766462795,Low_spent_Medium_value_payments,305.32982356687063,Standard
0x17f5,CUS_0x6a1b,August,Toonkeln,33,252-50-2326,Accountant,30788.44,2623.703333333333,7,9,31,6,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan",49,20,21.73,9.0,Bad,3470.08,38.25442229235325,NA,Yes,114.533020898938,242.53234925147845,!@9#%8,195.30496318291688,Standard
0x1801,CUS_0x9bc1,August,Jaisinghanij,42,445-18-4420,Architect,20574.47,1740.539166666667,6,1189,14,4,"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan",6,10,13.74,11.0,Standard,749.95,28.62902965219592,11 Years and 6 Months,Yes,49.348666321498655,,High_spent_Large_value_payments,322.7377425973424,Standard
0x180d,CUS_0xc65,August,Pomeroyi,22,473-91-5845,Lawyer,148699.32_,12432.61,3,4,5,3,"Personal Loan, Mortgage Loan, and Payday Loan",16,8,9.2,1.0,Good,949.38,40.605388381855605,31 Years and 2 Months,No,364.9151774048712,328.9078393799951,High_spent_Medium_value_payments,799.437983215134,Good
0x1819,CUS_0xaedb,August,Olivia Oranr,20_,#F%$D@*&8,_______,85554.03,7185.5025,4,2,3,0,,12,7,6.43,3.0,Good,1095.73,41.51328788148247,NA,No,81050.0,78.79818322985322,High_spent_Large_value_payments,879.7520667701468,Good
0x1825,CUS_0x8e9b,August,,16,925-51-5335,Entrepreneur,55829.79,,10,10,18,8,"Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan",30,19,23.99,11.0,Bad,3422.49,37.865668074107326,11 Years and 0 Months,Yes,314.90178526768176,255.72950135688282,Low_spent_Small_value_payments,156.31696337543542,Standard
0x1831,CUS_0x609d,August,Shupingu,27,911-47-6879,_______,14165.23,1057.4358333333332,7,10,33,9,"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, Payday Loan, Payday Loan, Payday Loan, and Student Loan",61,26,8.82,11.0,_,2797.17,35.201445477378066,14 Years and 6 Months,NM,58.86844083860843,133.8825777377157,Low_spent_Small_value_payments,202.9925647570092,Standard
0x183d,CUS_0x75c6,August,"""John ODonnell""p",30,587-65-8904,Teacher,87215.68,7489.973333333332,2,6,8,2,"Auto Loan, and Payday Loan",2,8,10.98,0.0,Good,680.77,35.622883365649685,21 Years and 3 Months,NM,19734.0,304.20281042249366,High_spent_Medium_value_payments,573.112506174297,Good
0x1849,CUS_0x9b3c,August,Scheydere,43,224-48-7837,Lawyer,81842.28_,,10,9,25,9_,"Student Loan, Auto Loan, Personal Loan, Auto Loan, Credit-Builder Loan, Payday Loan, Home Equity Loan, Auto Loan, and Personal Loan",20,16,16.25,11.0,Bad,3053.16,30.561750479920683,NA,NM,574.0657978713467,79.38081204748913,High_spent_Large_value_payments,267.57239008116403,Standard
0x1855,CUS_0x22a3,August,Nate Raymondj,38_,477-90-5881,Doctor,95956.5,8279375,8,4,11,2,"Personal Loan, and Student Loan",23,,11.94,2.0,Standard,1079.73,41.341414000106546,32 Years and 2 Months,NM,95.5216287821567,552.1106827759281,Low_spent_Large_value_payments,450.3051884419152,Good
0x1861,CUS_0xb14,August,Edwardk,3052,331-60-5414,Manager,49967.01,4091.9175,6,5,31,6,"Auto Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Student Loan",27,11,19.87,12.0,Standard,2253.95,31.52078179699133,17 Years and 5 Months,Yes,156.00331166279182,116.36129396965664,High_spent_Medium_value_payments,386.8271443675515,Poor
0x186d,CUS_0xb986,August,Simon Jessope,14,#F%$D@*&8,Developer,39887.22,3224935,9,9,16,-100,"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",57,22,17.25,14.0,Bad,3119.6,34.97086572389593,13 Years and 0 Months,NM,133.47084524343262,145.9405485815745,High_spent_Small_value_payments,303.082106174993,Standard
0x1879,CUS_0xbe1b,August,Kazunorit,44,853-17-1579,Developer,14129.76,1023.2175884600923,8,5,21,8,"Student Loan, Payday Loan, Personal Loan, Not Specified, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",62,18,5.51,6.0,Bad,4071.62,35.66937313879148,13 Years and 2 Months,NM,70.97506654794734,33.37622925667589,High_spent_Medium_value_payments,236.1591157352846,Poor
0x1885,CUS_0x9ce6,August,Ekr,43,101-11-3105,Developer,123732.32,10416.026666666667,4,3,11,0,,15,8,8.92,,Good,1154.46,26.26810601123289,27 Years and 10 Months,No,0.0,589.8279399082364,Low_spent_Medium_value_payments,731.7747267584301,Standard
0x1891,CUS_0x6ffb,August,Herbert Lashb,37,716-35-4628,Writer,17251.38,,6,3,7,7,"Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Mortgage Loan",3,15,15.06,10.0,Standard,2431.64,32.944844211843844,NA,Yes,57.35116518894053,23.472604725994863,High_spent_Large_value_payments,324.6377300850646,Standard
0x189d,CUS_0x4315,August,Christophd,23,908-69-0212,Entrepreneur,36822.29,3132.524166666666,8,7,6,4,"Not Specified, Personal Loan, Credit-Builder Loan, and Home Equity Loan",15,19,5.79,5.0,Standard,125.25,39.05658586366771,25 Years and 3 Months,No,95.8007129241996,251.98341141434074,Low_spent_Medium_value_payments,245.46829232812638,Good
0x18a9,CUS_0x3f5b,August,Mikeh,25,744-11-7914,Doctor,80108.31,6866.6925,5,3,17,0,,25,19,14.22,4.0,Standard,997.28,28.12327833446457,18 Years and 2 Months,Yes,0.0,127.88628896345242,!@9#%8,808.7829610365477,Standard
0x18b5,CUS_0x9d78,August,Tim Hepherp,21,423-77-6457,Scientist,69977.6,5978.466666666667,10,7,20,9,"Auto Loan, Personal Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, Mortgage Loan, Student Loan, and Auto Loan",49,18,6.81,11.0,Bad,3042.36,36.25111094816326,NA,NM,485.75043098703753,510.01476319312724,Low_spent_Large_value_payments,,Standard
0x18c1,CUS_0x47db,August,Granto,16,#F%$D@*&8,Musician,78988.48,6449.373333333332,9,5,29,7,"Auto Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",27,17,10.27,9.0,Bad,1746.9,28.955438083278302,10 Years and 8 Months,Yes,291.78276034215287,162.08160141504166,!@9#%8,431.07297157613885,Poor
0x18cd,CUS_0x8f17,August,Ermans,46,794-17-4490,Journalist,41746.76,3651.896666666667,8,5,31,3,"Mortgage Loan, Personal Loan, and Not Specified",62,21,9.81,11.0,Bad,1936.79,32.94553478945882,NA,Yes,102.28339754384292,85.99686893829424,High_spent_Large_value_payments,416.90940018452966,Poor
0x18d9,CUS_0x7d0b,August,Isabel Reynoldsb,22,226-77-0587,_______,19981.6,1459.1333333333332,10,8,20,7,"Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Student Loan, Student Loan, Home Equity Loan, and Credit-Builder Loan",54,21,23.58,12.0,Bad,4834.59,30.813295101757607,10 Years and 9 Months,Yes,78.41827155188288,171.6398273191018,Low_spent_Small_value_payments,185.85523446234862,Poor
0x18e5,CUS_0x7504,August,Laup,19,389-89-4542,Lawyer,73737.36,,7,3,18,4,"Not Specified, Credit-Builder Loan, Payday Loan, and Credit-Builder Loan",20,17,13.92,2.0,Standard,1219.39,37.84472128823233,31 Years and 8 Months,Yes,214.8134632011097,428.4559993294142,Low_spent_Large_value_payments,220.40853746947613,Standard
0x18f1,CUS_0x774,August,Christopher Doeringv,34,761-11-3016,Musician,88362.46,,5,2,8,3,"Debt Consolidation Loan, Home Equity Loan, and Personal Loan",15,7,11.01,1251.0,Good,325.93,36.53896300815056,31 Years and 3 Months,No,211.1843903373817,80.07134635979541,High_spent_Large_value_payments,674.2980966361563,Good
0x18fd,CUS_0x9f70,August,Michelley,45,147-76-6929,Entrepreneur,118248.6,10115.05,5,1,4,0,,18,13,3.69,8.0,Good,191.09,29.427164843543963,17 Years and 8 Months,NM,0.0,614.4651135333024,Low_spent_Small_value_payments,687.0398864666978,Good
0x1909,CUS_0xab76,August,Stempelp,26,878-90-6321,_______,60162.1,5197.508333333333,5,7,5,7,"Student Loan, Student Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan",18,10,12.79,9.0,Standard,1037.45,32.078618877289,13 Years and 9 Months,Yes,50812.0,231.76646742375286,Low_spent_Medium_value_payments,347.77063920563216,Standard
0x1915,CUS_0x5cdf,August,Wohli,18,616-36-8188,Musician,75273.24,,8,6,32,5,"Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan",50,11,12.8,8.0,Standard,2497.34,39.12441778394828,5 Years and 9 Months,Yes,351.36704467467814,369.49172024092206,Low_spent_Medium_value_payments,343.1662236375567,Standard
0x1921,CUS_0x2184,August,Goldsteinv,18,496-44-5947,Media_Manager,54820.89,4295.4075,8,7,28,6,"Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Personal Loan",41,17,18.42,11.0,Bad,4795.13,28.20185654687037,3 Years and 6 Months,Yes,169.48198431622052,118.8780758552012,High_spent_Medium_value_payments,391.18068982857835,Standard
0x192d,CUS_0xa156,August,Silvia Aloisiq,4431,#F%$D@*&8,Entrepreneur,58674.66,,8,5,15,4,"Not Specified, Payday Loan, Auto Loan, and Home Equity Loan",55,23,1.29,11.0,_,2425.38,33.808583730447694,13 Years and 8 Months,NM,116.10341691461672,334.26916451172764,Low_spent_Small_value_payments,322.0829185736557,Poor
0x1939,CUS_0x74f2,August,Colew,30,755-18-0308,Architect,30390.44,2721.5366666666664,5,6,5,4,"Mortgage Loan, Student Loan, Not Specified, and Mortgage Loan",19,20,8.36,4.0,Standard,580.31,22.960527669460905,NA,No,64.84803820501804,127.93517796334363,Low_spent_Small_value_payments,369.370450498305,Standard
0x1945,CUS_0x308b,August,Longstrethy,43,547-23-7195,Doctor,45207.54,3507295,8,8,2724,6,"Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Student Loan",24,20,9.78,13.0,Bad,2497.48,25.09430322022676,16 Years and 11 Months,Yes,148.91327341500903,331.9257292023161,!@9#%8,159.89049738267485,Poor
0x1951,CUS_0x2827,August,Lisah,18,486-07-1289,Scientist,144546.72,,0,3,7,2,"Payday Loan, and Not Specified",13,7,6.08,1.0,_,1045.11,45.21691024099081,23 Years and 6 Months,No,1293.5054487288114,226.50893584179911,!@9#%8,1057.4585075394102,Good
0x195d,CUS_0xa295,August,Patrick Temple-Westf,39,605-63-9678,Engineer,30346.35_,,5,4,14,7,"Auto Loan, Not Specified, Payday Loan, Mortgage Loan, Personal Loan, Payday Loan, and Personal Loan",29,6,18.8,5.0,Standard,523.56,26.31347755979629,8 Years and 11 Months,Yes,96.72128021256924,29.045193182720087,High_spent_Medium_value_payments,389.4197766047106,Standard
0x1969,CUS_0x6c2e,August,Dowsettk,47,558-25-1337,Mechanic,18681465,1584.78875,2,3,9,2,"Home Equity Loan, and Student Loan",6,6,3.9,3.0,Good,327.88,39.538108644227655,31 Years and 4 Months,No,24.821424978660396,__10000__,Low_spent_Small_value_payments,209.55769711416406,Good
0x1975,CUS_0x384c,August,David Henryp,42,813-91-8749,Scientist,9841.34,690.1116666666667,8,9,31,5_,"Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan",61,15,29.52,10.0,_,4984.82,37.82197102652432,5 Years and 0 Months,Yes,36.67512791916932,20.40645221387888,High_spent_Small_value_payments,271.92958653361853,Standard
0x1981,CUS_0x6cbb,August,Oreskovicv,35,308-38-8791,Media_Manager,72330.98,6300.581666666666,0,3,11,1,Auto Loan,1,6,4.62,1.0,Good,596.78,24.83928334598337,33 Years and 3 Months,No,31.37979415843871,301.22251829285426,Low_spent_Large_value_payments,567.4558542153737,Good
0x198d,CUS_0x36ab,August,Svea Herbst-Baylisss,16,925-44-1671,Teacher,43241.49,3282.269196467356,10,7,30,6,"Credit-Builder Loan, Mortgage Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan",36,17,8.47,10.0,Bad,2174.16,30.59762389415997,12 Years and 9 Months,Yes,460.4272666027642,94.60039479976265,High_spent_Medium_value_payments,351.20639213011737,Standard
0x1999,CUS_0x6649,August,Slaterf,19,548-03-9919,Mechanic,34106.78,,8,5,17,0_,,8,10_,10.06,0.0,Standard,996.54,30.454879370908362,32 Years and 6 Months,Yes,0.0,77.87534431690659,High_spent_Medium_value_payments,448.84782234976007,Good
0x19a5,CUS_0x6856,August,Gellerp,25,251-77-0979,Teacher,129067.59,10795.6325,1,3,1,4,"Student Loan, Auto Loan, Auto Loan, and Payday Loan",7,5,4.54,0.0,Good,137.15,39.451123239899424,NA,No,389.3056724525229,249.3614828062854,High_spent_Large_value_payments,680.8960947411916,Good
0x19b1,CUS_0xa27e,August,,34,898-94-0497,Architect,17001.34,1214.7783333333334,6,5,5,1,Home Equity Loan,5,20,5.62,2.0,Standard,1093.87,35.03187221946185,17 Years and 9 Months,No,10.535555607461252,99.29445779179599,Low_spent_Small_value_payments,301.6478199340761,Standard
